date,link,text
2018-02-23 15:00,https://sfbay.craigslist.org/scz/egr/d/structural-engineer-technician/6507845709.html,Structural Engineer Technician
2018-02-23 14:58,https://sfbay.craigslist.org/nby/egr/d/full-stack-engineer-with/6507843794.html,Full Stack Engineer with Angular Skills in SF North Bay
2018-02-23 14:22,https://sfbay.craigslist.org/nby/egr/d/architectural-job-captain/6507798264.html,Architectural Job Captain (Revit)
2018-02-23 12:55,https://sfbay.craigslist.org/sby/egr/d/design-engineer-porsche/6507681525.html,Design Engineer  - Porsche Suspension Components
2018-02-23 11:57,https://sfbay.craigslist.org/eby/egr/d/associate-engineer/6507599560.html,Associate Engineer
2018-02-23 11:34,https://sfbay.craigslist.org/pen/egr/d/structural-engineer/6507565199.html,Structural Engineer
2018-02-23 10:50,https://sfbay.craigslist.org/pen/egr/d/1-day-job-1000/6507499481.html,1 day job 1000$$$
2018-02-23 09:47,https://sfbay.craigslist.org/sfc/egr/d/open-interviews-job-fair/6507403691.html,"OPEN INTERVIEWS/JOB FAIR-COMPOSITE TECHS, WIRE HARNESS ASSEMBLERS..."
2018-02-23 09:38,https://sfbay.craigslist.org/sby/egr/d/medical-device-rd-engineer-1/6507389513.html,Medical Device R&D Engineer 1
2018-02-23 09:29,https://sfbay.craigslist.org/eby/egr/d/cad-drafter/6507375820.html,CAD Drafter
2018-02-23 09:23,https://sfbay.craigslist.org/sfc/egr/d/cad-technician/6507366890.html,CAD Technician
2018-02-23 09:17,https://sfbay.craigslist.org/pen/egr/d/construction-site-supervisor/6507356474.html,Construction Site Supervisor - BPR Properties
2018-02-23 08:34,https://sfbay.craigslist.org/eby/egr/d/experienced-site/6507291416.html,EXPERIENCED SITE SUPERINTENDENT FOR CONSTRUCTION PROJ
2018-02-22 17:10,https://sfbay.craigslist.org/nby/egr/d/senior-architect/6506731187.html,Senior Architect
2018-02-22 17:03,https://sfbay.craigslist.org/nby/egr/d/architectural-graduate-intern/6506724567.html,Architectural Graduate Intern
2018-02-22 16:58,https://sfbay.craigslist.org/nby/egr/d/project-architect/6506719721.html,Project Architect
2018-02-22 16:19,https://sfbay.craigslist.org/eby/egr/d/manufacturing-test-engineer/6506682137.html,Manufacturing Test Engineer
